id,username,ip,transactionTime,startTime,endTime,authorizationID,platform,usernames,day,polygon
39,John Smith,192.168.1.12,08/07/2019 22:53,15/10/2019 22:36,2019-10-20 22:36:30 UTC,DEV-0039-2019,WashingtonPost,"36915852, 51943884, 19817597",Monday,"POLYGON ((-16.4067401, -71.3764996), (-15.4067401,-71.3764996),(-16.4067401, -70.8764996), (-15.4067401,-70.8764996),(-16.4067401,-71.3764996))"
40,John Smith,192.168.1.12,21/05/2019 11:19,10/08/2019 06:13,2019-08-15 06:13:40 UTC,DEV-0040-2019,TheGuardian,"96655252, 44028853, 60317621, 08108252, 91352927",Tuesday,"POLYGON ((36.6919385, 38.9511518), (37.6919385,38.9511518),(36.6919385, 39.4511518), (37.6919385,39.4511518),(36.6919385,38.9511518))"
42,John Smith,192.168.1.55,03/01/2020 21:56,13/10/2019 06:30,2019-10-15 06:30:14 UTC,DEV-0042-2019,TheGuardian,"17217545, 39412555, 86898008",Friday,"POLYGON ((45.245678, 40.8360129), (46.245678,40.8360129),(45.245678, 41.3360129), (46.245678,41.3360129),(45.245678,40.8360129))"
43,John Smith,192.168.1.12,13/05/2019 07:18,15/11/2019 03:40,2019-11-21 03:40:06 UTC,DEV-0043-2019,DailyExpress,"31876057, 80260721, 31595746, 53412218, 01968784, 24313138, 31856273, 52137366, 96866957",Monday,"POLYGON ((36.67931, 10.29195), (error: no implicit conversion of Fixnum into String,10.29195),(36.67931, error: no implicit conversion of Float into String), (error: no implicit conversion of Fixnum into String,error: no implicit conversion of Float into String),(36.67931,10.29195))"
45,John Smith,192.168.1.12,08/01/2020 16:59,11/04/2019 14:03,2019-04-14 14:03:12 UTC,DEV-0045-2019,FinancialTimes,"64041247, 48402470, 77363970, 72028251, 01981750, 01920864, 80045460, 38665088, 41260890, 36412687, 31307570",Wednesday,"POLYGON ((39.5245194, -8.1915991), (40.5245194,-8.1915991),(39.5245194, -7.6915991), (40.5245194,-7.6915991),(39.5245194,-8.1915991))"
46,John Smith,192.168.1.12,31/01/2020 12:44,01/05/2019 03:42,2019-05-04 03:42:20 UTC,DEV-0046-2019,TheSun,"77512394, 48549121, 95012353, 16893132",Friday,"POLYGON ((51.7173795, 15.4240467), (52.7173795,15.4240467),(51.7173795, 15.9240467), (52.7173795,15.9240467),(51.7173795,15.4240467))"
47,John Smith,192.168.1.12,01/07/2019 12:58,27/03/2019 17:58,2019-03-31 17:58:03 UTC,DEV-0047-2019,TheTimes,"24996936, 82377374",Monday,"POLYGON ((24.771797, 103.290785), (25.771797,103.290785),(24.771797, 103.790785), (25.771797,103.790785),(24.771797,103.290785))"
48,John Smith,192.168.1.47,21/08/2019 02:22,27/03/2019 14:19,2019-04-01 14:19:29 UTC,DEV-0048-2019,FinancialTimes,"11586180, 38187737",Wednesday,"POLYGON ((51.5731362, 5.0314656), (52.5731362,5.0314656),(51.5731362, 5.5314656), (52.5731362,5.5314656),(51.5731362,5.0314656))"
50,John Smith,192.168.1.12,23/01/2020 14:19,05/05/2019 17:00,2019-05-07 17:00:00 UTC,DEV-0050-2019,TheGuardian,"39054688, 62634928, 64895797",Thursday,"POLYGON ((22.919769, 113.618216), (23.919769,113.618216),(22.919769, 114.118216), (23.919769,114.118216),(22.919769,113.618216))"
52,John Smith,192.168.1.12,26/08/2019 04:43,02/08/2019 09:27,2019-08-04 09:27:52 UTC,DEV-0052-2019,TheSun,"25314548, 20928384, 79233031, 89481162, 85520999",Monday,"POLYGON ((23.020673, 113.751799), (24.020673,113.751799),(23.020673, 114.251799), (24.020673,114.251799),(23.020673,113.751799))"
53,John Smith,192.168.1.47,08/10/2019 07:30,12/05/2019 04:52,2019-05-16 04:52:18 UTC,DEV-0053-2019,TheSun,"47207584, 02283804, 19948762, 89881399, 88779105, 72767605",Tuesday,"POLYGON ((34.329567, 108.706272), (35.329567,108.706272),(34.329567, 109.206272), (35.329567,109.206272),(34.329567,108.706272))"
55,John Smith,192.168.1.12,12/08/2019 11:19,05/02/2020 16:08,2020-02-11 16:08:37 UTC,DEV-0055-2019,DailyExpress,"13462999, 91873380, 82365628, 14235357, 70065459, 05155571, 53903291, 27825117",Monday,"POLYGON ((44.7488612, 19.6907882), (45.7488612,19.6907882),(44.7488612, 20.1907882), (45.7488612,20.1907882),(44.7488612,19.6907882))"
56,John Smith,192.168.1.12,02/12/2019 03:23,12/08/2019 04:03,2019-08-16 04:03:58 UTC,DEV-0056-2019,TheTimes,"62572501, 32949708, 42836721, 70746653",Monday,"POLYGON ((24.006293, 114.113382), (25.006293,114.113382),(24.006293, 114.613382), (25.006293,114.613382),(24.006293,114.113382))"
59,John Smith,192.168.1.12,19/06/2019 12:26,29/03/2019 07:06,2019-04-04 07:06:40 UTC,DEV-0059-2019,DailyExpress,"28264934, 36373487, 96606722, 14171648, 07864311, 90333427, 64399476, 53605323, 24543026, 56002621, 40607883",Wednesday,"POLYGON ((37.730256, 139.0660748), (38.730256,139.0660748),(37.730256, 139.5660748), (38.730256,139.5660748),(37.730256,139.0660748))"
61,John Smith,192.168.1.12,27/11/2019 20:29,13/02/2019 12:43,2019-02-18 12:43:17 UTC,DEV-0061-2019,MailOnline,"82242755, 00780415, 39829349, 70557229, 79783396, 15587214, 80738088, 63933392",Wednesday,"POLYGON ((53.0353444, 5.6840137), (54.0353444,5.6840137),(53.0353444, 6.1840137), (54.0353444,6.1840137),(53.0353444,5.6840137))"
63,Joseph Doherty,192.168.1.12,10/06/2019 10:43,28/10/2019 15:50,2019-10-30 15:50:16 UTC,DEV-0063-2019,NewYorkTimes,"01393878, 55989164, 50725086, 13706405, 03756425, 21469090, 51460786, 37644735, 76994156, 75532371",Monday,"POLYGON ((52.3982331, 13.2448535), (53.3982331,13.2448535),(52.3982331, 13.7448535), (53.3982331,13.7448535),(52.3982331,13.2448535))"
64,John Smith,192.168.1.12,15/04/2019 12:07,07/12/2019 01:16,2019-12-13 01:16:55 UTC,DEV-0064-2019,DailyExpress,"75011474, 38477092, 68405366",Monday,"POLYGON ((-34.8411832, -58.4389753), (-33.8411832,-58.4389753),(-34.8411832, -57.9389753), (-33.8411832,-57.9389753),(-34.8411832,-58.4389753))"
65,John Smith,192.168.1.12,08/10/2019 02:54,19/10/2019 22:50,2019-10-24 22:50:44 UTC,DEV-0065-2019,TheTimes,"79360703, 97791387, 41596734, 71883825, 73568921, 67391914, 50811815, 34318383, 99439000, 81744802",Tuesday,"POLYGON ((58.4050087, 15.5930164), (59.4050087,15.5930164),(58.4050087, 16.0930164), (59.4050087,16.0930164),(58.4050087,15.5930164))"
66,John Smith,192.168.1.12,01/10/2019 12:24,18/01/2020 23:59,2020-01-23 23:59:49 UTC,DEV-0066-2019,DailyExpress,"41912158, 52783539, 54250208, 41116533, 32118265",Tuesday,"POLYGON ((41.2130334, 23.2996379), (42.2130334,23.2996379),(41.2130334, 23.7996379), (42.2130334,23.7996379),(41.2130334,23.2996379))"
68,John Smith,192.168.1.12,15/05/2019 03:54,03/07/2019 08:56,2019-07-05 08:56:12 UTC,DEV-0068-2019,MailOnline,"59567785, 20644288",Wednesday,"POLYGON ((39.993684, 116.386545), (40.993684,116.386545),(39.993684, 116.886545), (40.993684,116.886545),(39.993684,116.386545))"
69,John Smith,192.168.1.44,29/10/2019 03:16,24/08/2019 00:53,2019-08-29 00:53:44 UTC,DEV-0069-2019,FinancialTimes,"79276853, 49435555, 61351604, 04774109, 94605283, 79361110, 30647093, 76304296, 15101188",Tuesday,"POLYGON ((46.2194458, -71.7713791), (47.2194458,-71.7713791),(46.2194458, -71.2713791), (47.2194458,-71.2713791),(46.2194458,-71.7713791))"
70,Luke Dormer,192.168.1.12,04/06/2019 16:52,30/11/2019 23:05,2019-12-02 23:05:54 UTC,DEV-0070-2019,DailyExpress,"59632930, 46709010, 69097049, 01333297, 42209984, 06239837, 73588969",Tuesday,"POLYGON ((19.3803931, -99.1476908), (20.3803931,-99.1476908),(19.3803931, -98.6476908), (20.3803931,-98.6476908),(19.3803931,-99.1476908))"
71,John Smith,192.168.1.55,27/01/2020 15:07,19/01/2020 02:36,2020-01-22 02:36:25 UTC,DEV-0071-2019,DailyExpress,61976341,Monday,"POLYGON ((45.5730726, 20.5777248), (46.5730726,20.5777248),(45.5730726, 21.0777248), (46.5730726,21.0777248),(45.5730726,20.5777248))"
72,John Smith,192.168.1.12,22/03/2019 03:18,03/11/2019 23:47,2019-11-06 23:47:04 UTC,DEV-0072-2019,NewYorkTimes,"36244606, 85189652, 47787355",Friday,"POLYGON ((32.78398, 36.47696), (error: no implicit conversion of Fixnum into String,36.47696),(32.78398, error: no implicit conversion of Float into String), (error: no implicit conversion of Fixnum into String,error: no implicit conversion of Float into String),(32.78398,36.47696))"
74,John Smith,192.168.1.55,05/04/2019 09:04,28/05/2019 10:13,2019-05-31 10:13:43 UTC,DEV-0074-2019,TheSun,"85973695, 45066417, 22788975, 64987930, 33796537, 19963941, 37677749, 87837058, 23192832",Friday,"POLYGON ((23.073914, 114.41958), (24.073914,114.41958),(23.073914, 114.91958), (24.073914,114.91958),(23.073914,114.41958))"
75,John Smith,192.168.1.12,06/02/2020 17:40,02/08/2019 12:41,2019-08-05 12:41:58 UTC,DEV-0075-2019,NewYorkTimes,"39642977, 79277249, 20033539, 23351212, 63952184, 51358968, 50837720, 47114769",Thursday,"POLYGON ((-7.3552614, 108.5693704), (-6.3552614,108.5693704),(-7.3552614, 109.0693704), (-6.3552614,109.0693704),(-7.3552614,108.5693704))"
76,John Smith,192.168.1.12,07/01/2020 18:08,14/07/2019 18:14,2019-07-19 18:14:43 UTC,DEV-0076-2019,WashingtonPost,"10895268, 84901496, 74802691, 93480779, 44232170, 76880436, 94805791, 36415110, 71506623, 14537224",Tuesday,"POLYGON ((29.2964866, 48.079379), (30.2964866,48.079379),(29.2964866, 48.579379), (30.2964866,48.579379),(29.2964866,48.079379))"
77,John Smith,192.168.1.12,05/09/2019 11:44,19/05/2019 13:14,2019-05-25 13:14:26 UTC,DEV-0077-2019,DailyExpress,"52324700, 40103054, 72138979, 50970327, 78536341, 61491765, 26028161, 40281564, 04042151, 22028674",Thursday,"POLYGON ((38.58, -121.49), (39.58,-121.49),(38.58, -120.99), (39.58,-120.99),(38.58,-121.49))"
78,John Smith,192.168.1.47,01/07/2019 18:11,05/04/2019 04:11,2019-04-11 04:11:12 UTC,DEV-0078-2019,TheGuardian,"78000242, 92399090, 79870281, 28940274, 42174487, 55614872, 96877207, 49949121, 80852870, 12130602",Monday,"POLYGON ((38.0987438, 23.8790184), (39.0987438,23.8790184),(38.0987438, 24.3790184), (39.0987438,24.3790184),(38.0987438,23.8790184))"
79,Joseph Doherty,192.168.1.12,20/11/2019 07:19,16/02/2019 19:03,2019-02-20 19:03:56 UTC,DEV-0079-2019,TheSun,"18552731, 95148698, 42547610, 57835744, 33523074, 30853563, 23327659, 19485763, 70970125, 37312102, 37328560",Wednesday,"POLYGON ((13.2838698, 5.4201377), (14.2838698,5.4201377),(13.2838698, 5.9201377), (14.2838698,5.9201377),(13.2838698,5.4201377))"
81,John Smith,192.168.1.12,13/01/2020 12:24,14/03/2019 06:52,2019-03-20 06:52:30 UTC,DEV-0081-2019,WashingtonPost,"09168188, 75685795",Monday,"POLYGON ((32.910459, 119.85254), (33.910459,119.85254),(32.910459, 120.35254), (33.910459,120.35254),(32.910459,119.85254))"
82,John Smith,192.168.1.12,07/10/2019 00:31,07/08/2019 08:46,2019-08-10 08:46:25 UTC,DEV-0082-2019,TheSun,"72717481, 66293349, 80331220, 83282595, 70416296, 25164902, 37302696, 94596211",Monday,"POLYGON ((59.4304876, 18.0591041), (60.4304876,18.0591041),(59.4304876, 18.5591041), (60.4304876,18.5591041),(59.4304876,18.0591041))"
83,John Smith,192.168.1.47,07/05/2019 18:57,21/05/2019 03:55,2019-05-26 03:55:32 UTC,DEV-0083-2019,NewYorkTimes,"70507744, 55553794, 54151011",Tuesday,"POLYGON ((34.5724074, 107.0351315), (35.5724074,107.0351315),(34.5724074, 107.5351315), (35.5724074,107.5351315),(34.5724074,107.0351315))"
84,John Smith,192.168.1.12,05/02/2020 06:02,12/02/2019 20:25,2019-02-14 20:25:06 UTC,DEV-0084-2019,WashingtonPost,"97928426, 47453381, 58986363, 53633070, 15752717, 00856489, 07687830",Wednesday,"POLYGON ((38.8082362, -9.4468279), (39.8082362,-9.4468279),(38.8082362, -8.9468279), (39.8082362,-8.9468279),(38.8082362,-9.4468279))"
85,John Smith,192.168.1.47,05/03/2019 08:39,05/05/2019 22:06,2019-05-07 22:06:41 UTC,DEV-0085-2019,TheGuardian,"75529495, 81833334, 85735352, 07525632, 81027765, 59129157, 32977569",Tuesday,"POLYGON ((34.481455, 108.386208), (35.481455,108.386208),(34.481455, 108.886208), (35.481455,108.886208),(34.481455,108.386208))"
87,John Smith,192.168.1.12,01/03/2019 11:30,11/04/2019 23:51,2019-04-14 23:51:31 UTC,DEV-0087-2019,MailOnline,"87309706, 52874030, 69595333, 97336770, 95386611, 98778462, 92014821",Friday,"POLYGON ((54.1831243, 15.9277356), (55.1831243,15.9277356),(54.1831243, 16.4277356), (55.1831243,16.4277356),(54.1831243,15.9277356))"
88,John Smith,192.168.1.12,28/06/2019 11:14,24/12/2019 21:06,2019-12-30 21:06:14 UTC,DEV-0088-2019,MailOnline,"18842913, 76937839, 76004675, 16102702, 03175178, 82042848, 94366658, 69429046, 05569746, 89759827",Friday,"POLYGON ((-7.2929068, 107.2666396), (-6.2929068,107.2666396),(-7.2929068, 107.7666396), (-6.2929068,107.7666396),(-7.2929068,107.2666396))"
89,John Smith,192.168.1.12,22/01/2020 06:22,16/02/2019 17:09,2019-02-21 17:09:14 UTC,DEV-0089-2019,DailyExpress,"82881854, 36214780, 62538535, 17672007, 18541009, 64132229, 60970196, 31452834, 30809535",Wednesday,"POLYGON ((32.5741487, 73.8854331), (33.5741487,73.8854331),(32.5741487, 74.3854331), (33.5741487,74.3854331),(32.5741487,73.8854331))"
90,John Smith,192.168.1.12,03/04/2019 00:50,06/08/2019 00:31,2019-08-10 00:31:08 UTC,DEV-0090-2019,NewYorkTimes,"49850032, 90238190, 62698802, 15457810, 88827192",Wednesday,"POLYGON ((49.4991381, -119.5937077), (50.4991381,-119.5937077),(49.4991381, -119.0937077), (50.4991381,-119.0937077),(49.4991381,-119.5937077))"
91,Joseph Doherty,192.168.1.12,05/07/2019 21:09,14/09/2019 17:42,2019-09-18 17:42:30 UTC,DEV-0091-2019,TheTimes,66816952,Friday,"POLYGON ((56.5523691, 38.0335558), (57.5523691,38.0335558),(56.5523691, 38.5335558), (57.5523691,38.5335558),(56.5523691,38.0335558))"
92,John Smith,192.168.1.47,03/06/2019 00:01,05/02/2020 20:48,2020-02-08 20:48:37 UTC,DEV-0092-2019,MailOnline,"38347752, 97958291, 31304664, 12476698, 32083010, 94992885",Monday,"POLYGON ((-7.9199459, 113.8138552), (-6.9199459,113.8138552),(-7.9199459, 114.3138552), (-6.9199459,114.3138552),(-7.9199459,113.8138552))"
93,John Smith,192.168.1.12,30/01/2020 03:19,10/05/2019 03:29,2019-05-13 03:29:03 UTC,DEV-0093-2019,FinancialTimes,"34041028, 66697992, 39644119, 59352948, 59782854, 40937158, 79254516, 54903078",Thursday,"POLYGON ((14.6632212, -90.6132158), (15.6632212,-90.6132158),(14.6632212, -90.1132158), (15.6632212,-90.1132158),(14.6632212,-90.6132158))"
95,John Smith,192.168.1.12,02/10/2019 18:13,20/02/2019 17:23,2019-02-22 17:23:59 UTC,DEV-0095-2019,FinancialTimes,"89853170, 80676241, 30064396, 50946186, 69440678, 08738454, 22721141, 02789742, 19610365, 31618188, 49652516",Wednesday,"POLYGON ((-7.6426348, 112.7032945), (-6.6426348,112.7032945),(-7.6426348, 113.2032945), (-6.6426348,113.2032945),(-7.6426348,112.7032945))"
96,John Smith,192.168.1.12,25/11/2019 12:23,21/04/2019 07:01,2019-04-26 07:01:57 UTC,DEV-0096-2019,TheTimes,"67692723, 96514151",Monday,"POLYGON ((49.7245218, 16.8754183), (50.7245218,16.8754183),(49.7245218, 17.3754183), (50.7245218,17.3754183),(49.7245218,16.8754183))"
97,John Smith,192.168.1.12,22/04/2019 06:24,11/01/2020 12:51,2020-01-13 12:51:17 UTC,DEV-0097-2019,DailyExpress,"81797288, 29286149, 78173963, 60653303, 22800456, 72891601, 48010958, 10140689, 84331839",Monday,"POLYGON ((-1.4926759, 103.5494757), (-0.4926759,103.5494757),(-1.4926759, 104.0494757), (-0.4926759,104.0494757),(-1.4926759,103.5494757))"
98,Joseph Doherty,192.168.1.12,21/02/2019 00:27,06/08/2019 20:47,2019-08-11 20:47:48 UTC,DEV-0098-2019,TheGuardian,"50532212, 80733998, 72280834, 17158241, 38212700, 59866896, 32369642, 53538140, 21781642",Thursday,"POLYGON ((51.768362, 55.11302), (52.768362,55.11302),(51.768362, 55.61302), (52.768362,55.61302),(51.768362,55.11302))"
101,John Smith,192.168.1.12,18/03/2019 13:55,25/03/2019 20:58,2019-03-29 20:58:21 UTC,DEV-00101-2019,NewYorkTimes,"27679842, 30201211, 29189592, 11571400, 09421827, 53351392, 07996812",Monday,"POLYGON ((38.681707, 112.337992), (39.681707,112.337992),(38.681707, 112.837992), (39.681707,112.837992),(38.681707,112.337992))"
103,John Smith,192.168.1.12,07/10/2019 11:55,22/08/2019 10:56,2019-08-26 10:56:53 UTC,DEV-00103-2019,NewYorkTimes,"95654847, 40869008, 69410052, 76559313, 00035356, 38684204, 87222013, 02836375",Monday,"POLYGON ((-7.2026011, 107.4558555), (-6.2026011,107.4558555),(-7.2026011, 107.9558555), (-6.2026011,107.9558555),(-7.2026011,107.4558555))"
